Date,AAPL,GOOGL,MSFT,AMZN,FB,,,,,,,,,,
4/24/2019,207.1600037,1260.050049,125.0100021,1901.75,182.5800018,-0.319992065,-10.53991699,-0.430000305,-22.02001953,-1.199996948,,TRUE,,,
4/25/2019,205.2799988,1267.339966,129.1499939,1902.25,193.2599945,-1.880004883,7.289916992,4.13999176,0.5,10.67999268,,FALSE,,,
4/26/2019,204.3000031,1277.420044,129.8899994,1950.630005,191.4900055,-0.979995728,10.08007813,0.740005493,48.38000488,-1.769989014,,FALSE,,,
4/29/2019,204.6100006,1296.199951,129.7700043,1938.430054,194.7799988,0.309997559,18.77990723,-0.119995117,-12.19995117,3.289993286,,FALSE,,,
4/30/2019,200.6699982,1198.959961,130.6000061,1926.52002,193.3999939,-3.940002441,-97.23999023,0.830001831,-11.91003418,-1.380004883,,FALSE,,,
5/1/2019,210.5200043,1173.319946,127.8799973,1911.52002,193.0299988,9.850006104,-25.64001465,-2.72000885,-15,-0.369995117,,FALSE,,,
5/2/2019,209.1499939,1166.51001,126.2099991,1900.819946,192.5299988,-1.370010376,-6.809936523,-1.669998169,-10.70007324,-0.5,,TRUE,,,
5/3/2019,211.75,1189.550049,128.8999939,1962.459961,195.4700012,2.600006104,23.04003906,2.689994812,61.64001465,2.940002441,,TRUE,,,
5/6/2019,208.4799957,1193.459961,128.1499939,1950.550049,193.8800049,-3.270004272,3.909912109,-0.75,-11.90991211,-1.589996338,,FALSE,,,
5/7/2019,202.8600006,1178.859985,125.5199966,1921,189.7700043,-5.619995117,-14.59997559,-2.629997253,-29.55004883,-4.11000061,,TRUE,,,
5/8/2019,202.8999939,1170.780029,125.5100021,1917.77002,189.5399933,0.039993286,-8.079956055,-0.009994507,-3.229980469,-0.230010986,,FALSE,,,
5/9/2019,200.7200012,1167.969971,125.5,1899.869995,188.6499939,-2.179992676,-2.810058594,-0.010002136,-17.90002441,-0.88999939,,TRUE,,,
5/10/2019,197.1799927,1167.640015,127.1299973,1889.97998,188.3399963,-3.540008545,-0.329956055,1.629997253,-9.890014648,-0.309997559,,FALSE,,,
5/13/2019,185.7200012,1136.589966,123.3499985,1822.680054,181.5399933,-11.45999146,-31.05004883,-3.779998779,-67.29992676,-6.800003052,,TRUE,,,
5/14/2019,188.6600037,1124.859985,124.7300034,1840.119995,180.7299957,2.940002441,-11.72998047,1.380004883,17.43994141,-0.809997559,,FALSE,,,
